movie_id,title,genres,tags
31,Avatar,Action Sci-Fi Adventure,"alien planet nature humans technology survival epic visual adventure"
32,Jurassic Park,Sci-Fi Adventure Thriller,"dinosaurs island science survival adventure creatures"
33,The Lord of the Rings The Fellowship of the Ring,Fantasy Adventure Drama,"middle earth hobbits ring quest friendship epic battle magic"
34,Harry Potter and the Sorcerer's Stone,Fantasy Adventure Family,"magic wizard school friendship childhood adventure"
35,Pirates of the Caribbean,Action Adventure Fantasy,"pirates treasure sea adventure comedy supernatural"
36,The Hunger Games,Action Sci-Fi Drama,"survival competition rebellion dystopia young adult revolution"
37,Dune,Sci-Fi Adventure Drama,"desert planet politics prophecy war family epic"
38,Blade Runner 2049,Sci-Fi Mystery Drama,"future android detective artificial intelligence identity dystopia"
39,The Terminator,Action Sci-Fi Thriller,"robot time travel future assassin survival technology"
40,Alien,Sci-Fi Horror Thriller,"space spaceship alien survival isolation creature suspense"
41,Die Hard,Action Thriller,"cop terrorist hostage building explosion survival hero"
42,Mission Impossible Fallout,Action Thriller,"spy mission espionage stunt conspiracy agent action"
43,Top Gun Maverick,Action Drama,"fighter jets aviation military friendship competition emotional"
44,The Bourne Identity,Action Thriller Mystery,"spy memory conspiracy assassin identity government chase"
45,Gladiator,Action Drama History,"roman warrior revenge emperor battle honor arena"
46,300,Action Drama History,"war spartans battle courage freedom ancient history"
47,Troy,Action Drama History,"greek mythology war romance heroes battle ancient"
48,Kingdom of Heaven,Action Drama History,"crusades kingdom war knight religion historical epic"
49,The Revenant,Adventure Drama Thriller,"survival wilderness revenge frontier nature brutal"
50,Cast Away,Drama Adventure,"island survival isolation friendship hope emotional"
51,Life of Pi,Adventure Drama Fantasy,"ocean survival tiger spirituality journey imagination"
52,The Martian,Sci-Fi Adventure Drama,"mars survival astronaut science isolation engineering space"
53,Gravity,Sci-Fi Thriller Drama,"space astronaut survival isolation accident tension"
54,Arrival,Sci-Fi Drama Mystery,"aliens language communication time mystery emotional"
55,Ex Machina,Sci-Fi Thriller Drama,"artificial intelligence robot consciousness experiment technology"
56,Her,Romance Sci-Fi Drama,"artificial intelligence relationship loneliness technology emotional future"
57,Eternal Sunshine of the Spotless Mind,Romance Sci-Fi Drama,"memory love breakup relationship technology emotional"
58,The Prestige,Drama Mystery Thriller,"magicians rivalry obsession secrets illusion twist"
59,Shutter Island,Mystery Thriller Drama,"island detective investigation psychological mystery twist"
60,Se7en,Crime Thriller Mystery,"detectives serial killer investigation dark psychological murder"
61,Zodiac,Crime Mystery Thriller,"serial killer investigation journalism detective unsolved mystery"
62,Prisoners,Crime Thriller Drama,"kidnapping investigation family revenge detective suspense"
63,Gone Girl,Thriller Mystery Drama,"missing wife marriage mystery deception psychological twist"
64,The Silence of the Lambs,Crime Thriller Horror,"serial killer detective psychology investigation cannibal suspense"
65,The Departed,Crime Thriller Drama,"police mafia undercover betrayal crime Boston tension"
66,Goodfellas,Crime Drama,"gangsters mafia crime friendship violence ambition"
67,The Godfather,Crime Drama,"mafia family power loyalty betrayal organized crime"
68,Scarface,Crime Drama,"gangster drugs ambition power violence crime rise"
69,American Psycho,Crime Thriller Drama,"businessman identity obsession violence psychological dark satire"
70,The Wolf of Wall Street,Comedy Crime Drama,"stock market greed money ambition luxury corruption"
71,The Big Short,Drama Biography Comedy,"finance stock market crisis investment economics corruption"
72,Moneyball,Drama Biography Sport,"baseball statistics analytics strategy underdog management"
73,The Pursuit of Happyness,Drama Biography,"struggle father son career motivation success hope"
74,Good Will Hunting,Drama Romance,"genius mathematics friendship trauma mentor self discovery"
75,A Beautiful Mind,Drama Biography Romance,"mathematics genius love struggle achievement psychological"
76,Dead Poets Society,Drama Comedy,"teacher students poetry inspiration education friendship freedom"
77,The Green Mile,Drama Fantasy Crime,"prison supernatural friendship justice emotional mystery"
78,12 Angry Men,Drama Crime,"jury justice courtroom debate conflict decision morality"
79,The Pianist,Drama Biography War,"world war survival music pianist historical emotional"
80,Schindler's List,Drama History War,"holocaust survival humanity businessman world war historical"
81,Dunkirk,Action Drama History,"world war evacuation soldiers survival military suspense"
82,1917,War Drama History,"world war mission soldiers survival battlefield journey"
83,Saving Private Ryan,Action Drama War,"world war soldiers rescue friendship sacrifice battle"
84,Fury,Action War Drama,"tank soldiers world war brotherhood combat survival"
85,The Grand Budapest Hotel,Comedy Drama,"hotel friendship adventure quirky mystery europe humor"
86,Knives Out,Mystery Comedy Crime,"murder detective family secrets investigation twist humor"
87,The Nice Guys,Comedy Crime Mystery,"detectives investigation conspiracy humor friendship action"
88,Superbad,Comedy,"teenagers friendship high school party coming of age hilarious"
89,Mean Girls,Comedy Drama,"high school friendship popularity rivalry teenagers humor"
90,The Devil Wears Prada,Comedy Drama,"fashion career ambition workplace friendship transformation"
91,The Intern,Comedy Drama,"workplace friendship retirement startup mentorship career"
92,Crazy Rich Asians,Romance Comedy Drama,"romance family wealth culture wedding relationships"
93,500 Days of Summer,Romance Comedy Drama,"relationship love breakup memories expectations emotional"
94,About Time,Romance Comedy Fantasy,"time travel love family relationships emotional life"
95,Before Sunrise,Romance Drama,"young couple conversation travel connection love philosophy"
96,The Fault in Our Stars,Romance Drama,"teen romance illness love emotional relationship tragedy"
97,Me Before You,Romance Drama,"love relationship disability emotional transformation"
98,Black Panther,Action Sci-Fi Adventure,"superhero africa kingdom technology leadership family"
99,Iron Man,Action Sci-Fi Adventure,"superhero technology billionaire invention armor action"
100,Doctor Strange,Action Fantasy Sci-Fi,"magic superhero multiverse sorcery transformation adventure"
